番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
581,５―メチル―１，２，４―トリアゾロ［３，４―ｂ］ベンゾチアゾール（別名トリシクラゾール）,41814-78-2,1%未満,1%未満,"5-Methyl-1,2,4-triazolo[3,4-b]benzothiazole (alias Tricyclazole)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
582,２―メチル―４―（２―トリルアゾ）アニリン,97-56-3,0.1%未満,0.1%未満,2-Methyl-4-(2-tolylazo)aniline,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
582-2,メチルナフタレン,下記,1%未満,1%未満,Methylnaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
582-2,１－メチルナフタレン,90-12-0,1%未満,1%未満,1-Methylnaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
582-2,２－メチルナフタレン,91-57-6,1%未満,1%未満,2-Methylnaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
582-3,２―メチル―５―ニトロアニリン,99-55-8,1%未満,0.1%未満,2-Methyl-5-nitroaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
583,２―メチル―１―ニトロアントラキノン,129-15-7,1%未満,0.1%未満,2-Methyl-1-nitroanthraquinone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
584,Ｎ―メチル―Ｎ―ニトロソカルバミン酸エチル,615-53-2,1%未満,0.1%未満,Ethyl N-methyl-N-nitrosocarbamate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
585,メチル―ノルマル―ブチルケトン,591-78-6,1%未満,1%未満,Methyl n-butyl ketone,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
586,メチル―ノルマル―ペンチルケトン,110-43-0,1%未満,1%未満,Methyl n-pentyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
587,メチルヒドラジン,60-34-4,1%未満,0.1%未満,Methylhydrazine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
588,メチルビニルケトン,78-94-4,1%未満,0.1%未満,Methyl vinyl ketone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
588-2,Ｎ―メチル―２―ピロリドン,872-50-4,1%未満,0.1%未満,N-Methyl-2-pyrrolidone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
589,１―［（２―メチルフェニル）アゾ］―２―ナフトール（別名オイルオレンジＳＳ）,2646-17-5,1%未満,0.1%未満,1-[(2-Methylphenyl)azo]-2-naphthol (alias Oil orange SS),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
590,メチルプロピルケトン,107-87-9,1%未満,1%未満,Methyl propyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
591,５―メチル―２―ヘキサノン,110-12-3,1%未満,1%未満,5-Methyl-2-hexanone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
592,４―メチル―２―ペンタノール,108-11-2,1%未満,1%未満,4-Methyl-2-pentanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
593,２―メチル―２，４―ペンタンジオール,107-41-5,1%未満,1%未満,"2-Methyl-2,4-pentanediol","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
594,２―メチル―Ｎ―［３―（１―メチルエトキシ）フェニル］ベンズアミド（別名メプロニル）,55814-41-0,1%未満,1%未満,2-Methyl-N-[3-(1-methylethoxy)phenyl]benzamide (alias Mepronil),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
595,Ｓ―メチル―Ｎ―（メチルカルバモイルオキシ）チオアセチミデート（別名メソミル）,16752-77-5,1%未満,1%未満,S-Methyl N-(methylcarbamoyloxy)thioacetimidate (alias Methomyl),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
596,メチルメルカプタン,74-93-1,1%未満,1%未満,Methyl mercaptan,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
597,４，４′―メチレンジアニリン,101-77-9,1%未満,0.1%未満,"4,4'-Methylenedianiline","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
598,メチレンビス（４，１―シクロヘキシレン）＝ジイソシアネート,5124-30-1,1%未満,0.1%未満,"Methylenebis (4,1-cyclohexylene) diisocyanate","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
599,メチレンビス（４，１―フェニレン）＝ジイソシアネート（別名ＭＤＩ）,101-68-8,1%未満,0.1%未満,"Methylenebis (4,1-phenylene) diisocyanate (alias MDI)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
600,２―メトキシ―５―メチルアニリン,120-71-8,1%未満,0.1%未満,2-Methoxy-5-methylaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
601,１―（２―メトキシ―２―メチルエトキシ）―２―プロパノール,34590-94-8,1%未満,1%未満,1-(2-Methoxy-2-methylethoxy)-2-propanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
601-2,２―メトキシ―２―メチルブタン（別名ターシャリ―アミルメチルエーテル）,994-05-8,1%未満,0.1%未満,2-methoxy-2-methylbutane,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
602,メルカプト酢酸,68-11-1,1%未満,0.1%未満,Mercaptoacetic acid,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
603,モリブデン及びその化合物,＊,1%未満,0.1%未満,Molybdenum and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
604,モルホリン,110-91-8,1%未満,1%未満,Morpholine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
606,沃素,7553-56-2,1%未満,0.1%未満,Iodine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
606,沃素化合物（沃化物）　,＊,1%未満,1%未満,Iodides,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
606,沃化メチル,74-88-4,1%未満,1%未満,Methyl iodide,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
607,ヨードホルム,75-47-8,1%未満,1%未満,Iodoform,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
607-2,硫化カルボニル,463-58-1,1%未満,1%未満,Carbonyl sulphide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
608,硫化ジメチル,75-18-3,1%未満,1%未満,Dimethyl sulfide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
609,硫化水素,7783-06-4,1%未満,1%未満,Hydrogen sulfide,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
610,硫化水素ナトリウム,16721-80-5,1%未満,1%未満,Sodium hydrogensulfide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
611,硫化ナトリウム,1313-82-2,1%未満,1%未満,Sodium sulfide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
612,硫化りん,1314-80-3他,1%未満,1%未満,Phosphorus sulfide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
613,硫酸,7664-93-9,1%未満,1%未満,Sulfuric acid,"1%, no less than ","1%, no less than ",○第3類,,,,1%,1.0%,1%,1.0%
614,硫酸ジイソプロピル,2973-10-6,1%未満,0.1%未満,Diisopropyl sulfate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
615,硫酸ジエチル,64-67-5,0.1%未満,0.1%未満,Diethyl sulfate,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
616,硫酸ジメチル,77-78-1,0.1%未満,0.1%未満,Dimethyl sulfate,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
617,りん化水素,7803-51-2,1%未満,1%未満,Hydrogen phosphide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
618,りん酸,7664-38-2,1%未満,1%未満,Phosphoric acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
619,りん酸ジ―ノルマル―ブチル,107-66-4,1%未満,1%未満,Di-n-butyl phosphate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
620,りん酸ジ―ノルマル―ブチル＝フェニル,2528-36-1,1%未満,1%未満,Di-n-butyl phenyl phosphate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
621,りん酸１，２―ジブロモ―２，２―ジクロロエチル＝ジメチル（別名ナレド）,300-76-5,1%未満,0.1%未満,"1,2-Dibromo-2,2-dichloroethyl dimethyl phosphate (alias Naled)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
622,りん酸ジメチル＝（Ｅ）―１―（Ｎ，Ｎ―ジメチルカルバモイル）―１―プロペン―２―イル（別名ジクロトホス）,141-66-2,1%未満,1%未満,"Dimethyl (E)-1-(N,N-dimethylcarbamoyl)-1-propen-2-yl phosphate (alias Dicrotophos)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
623,りん酸ジメチル＝（Ｅ）―１―（Ｎ―メチルカルバモイル）―１―プロペン―２―イル（別名モノクロトホス）,6923-22-4,1%未満,1%未満,Dimethyl (E)-1-(N-methylcarbamoyl)-1-propen-2-yl phosphate (alias Monocrotophos),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
624,りん酸ジメチル＝１―メトキシカルボニル―１―プロペン―２―イル（別名メビンホス）,7786-34-7,1%未満,1%未満,Dimethyl 1-methoxycarbonyl-1-propen-2-yl phosphate (alias Mevinphos),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
625,りん酸トリ（オルト―トリル）,78-30-8,1%未満,1%未満,Tri (o-tolyl) phosphate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
626,りん酸トリス（２，３―ジブロモプロピル）,126-72-7,0.1%未満,0.1%未満,"Tris (2,3-dibromopropyl) phosphate","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
627,りん酸トリ―ノルマル―ブチル,126-73-8,1%未満,1%未満,Tri-n-butyl phosphate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
628,りん酸トリフェニル,115-86-6,1%未満,1%未満,Triphenyl phosphate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
629,レソルシノール,108-46-3,1%未満,0.1%未満,Resorcinol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
630,六塩化ブタジエン,87-68-3,1%未満,0.1%未満,Hexachlorobutadiene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
631,ロジウム及びその化合物,＊,1%未満,0.1%未満,Rhodium and its compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
632,ロジン,8050-09-7,1%未満,0.1%未満,Rosin,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
633,ロテノン,83-79-4,1%未満,1%未満,Rotenone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
oga,C.I. Pigment black 26,68186-94-7,1%未満,0.1%未満,C.I. Pigment black 26,,,○第2類,,,,1%,1.0%,0.1%,0.1%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
