物質ID,出典,CAS RN,日本語名,英語名,窒素等価係数,酸素等量係数,pH,最大濃度,最小濃度,酸 (pH≦2),塩基 (pH≧11.5),無機塩類,アルデヒド類,フェノール類,界面活性剤、その他の成分,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：気体）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉じん、ミスト）,皮膚腐食性及び皮膚刺激性,眼に対する重篤な損傷性又は眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,生殖毒性・授乳影響,特定標的臓器毒性（単回ばく露）,特定標的臓器毒性（単回ばく露）区分（1）,特定標的臓器毒性（単回ばく露）臓器種（1）,特定標的臓器毒性（単回ばく露）暴露経路（1）,特定標的臓器毒性（単回ばく露）区分（2）,特定標的臓器毒性（単回ばく露）臓器種（2）,特定標的臓器毒性（単回ばく露）暴露経路（2）,特定標的臓器毒性（単回ばく露）区分（3）,特定標的臓器毒性（単回ばく露）臓器種（3）,特定標的臓器毒性（単回ばく露）暴露経路（3）,特定標的臓器毒性（単回ばく露）区分（4）,特定標的臓器毒性（単回ばく露）臓器種（4）,特定標的臓器毒性（単回ばく露）暴露経路（4）,特定標的臓器毒性（単回ばく露）区分（5）,特定標的臓器毒性（単回ばく露）臓器種（5）,特定標的臓器毒性（単回ばく露）暴露経路（5）,特定標的臓器毒性（単回ばく露）区分（6）,特定標的臓器毒性（単回ばく露）臓器種（6）,特定標的臓器毒性（単回ばく露）暴露経路（6）,特定標的臓器毒性（単回ばく露）区分（7）,特定標的臓器毒性（単回ばく露）臓器種（7）,特定標的臓器毒性（単回ばく露）暴露経路（7）,特定標的臓器毒性（単回ばく露）区分（8）,特定標的臓器毒性（単回ばく露）臓器種（8）,特定標的臓器毒性（単回ばく露）暴露経路（8）,特定標的臓器毒性（単回ばく露）区分（9）,特定標的臓器毒性（単回ばく露）臓器種（9）,特定標的臓器毒性（単回ばく露）暴露経路（9）,特定標的臓器毒性（単回ばく露）区分（10）,特定標的臓器毒性（単回ばく露）臓器種（10）,特定標的臓器毒性（単回ばく露）暴露経路（10）,特定標的臓器毒性（反復ばく露）,特定標的臓器毒性（反復ばく露）区分(1),特定標的臓器毒性（反復ばく露）臓器種(1),特定標的臓器毒性（反復ばく露）暴露経路(1),特定標的臓器毒性（反復ばく露）区分(2),特定標的臓器毒性（反復ばく露）臓器種(2),特定標的臓器毒性（反復ばく露）暴露経路(2),特定標的臓器毒性（反復ばく露）区分(3),特定標的臓器毒性（反復ばく露）臓器種(3),特定標的臓器毒性（反復ばく露）暴露経路(3),特定標的臓器毒性（反復ばく露）区分(4),特定標的臓器毒性（反復ばく露）臓器種(4),特定標的臓器毒性（反復ばく露）暴露経路(4),特定標的臓器毒性（反復ばく露）区分(5),特定標的臓器毒性（反復ばく露）臓器種(5),特定標的臓器毒性（反復ばく露）暴露経路(5),特定標的臓器毒性（反復ばく露）区分(6),特定標的臓器毒性（反復ばく露）臓器種(6),特定標的臓器毒性（反復ばく露）暴露経路(6),特定標的臓器毒性（反復ばく露）区分(7),特定標的臓器毒性（反復ばく露）臓器種(7),特定標的臓器毒性（反復ばく露）暴露経路(7),特定標的臓器毒性（反復ばく露）区分(8),特定標的臓器毒性（反復ばく露）臓器種(8),特定標的臓器毒性（反復ばく露）暴露経路(8),特定標的臓器毒性（反復ばく露）区分(9),特定標的臓器毒性（反復ばく露）臓器種(9),特定標的臓器毒性（反復ばく露）暴露経路(9),特定標的臓器毒性（反復ばく露）区分(10),特定標的臓器毒性（反復ばく露）臓器種(10),特定標的臓器毒性（反復ばく露）暴露経路(10),誤えん有害性,水生環境有害性　短期　（急性）,水生環境有害性　長期　（慢性）,オゾン層への有害性,急性毒性（経口）急性毒性推定値（ATE）mg/kg,急性毒性（経皮）急性毒性推定値（ATE）mg/kg,急性毒性（吸入：気体）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）mg/L,急性毒性（吸入：粉じん、ミスト）急性毒性推定値（ATE）mg/l,LC50(魚類),EC50(甲殻類),EC50(藻類),毒性乗率　水生環境有害性　短期　（急性）,NOEC(魚類),NOEC(甲殻類),NOEC(藻類),急速分解性有無,毒性乗率　水生環境有害性　長期　（慢性）,GHS分類結果情報参照URL（日）,GHS分類結果情報参照URL（英）,ratio
m-nite-1331-61-9,NITE,1331-61-9,ドデシルベンゼンスルホン酸アンモニウム（C12）,Ammonium dodecylbenzenesulphonate (C12),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,区分2A,分類できない,区分に該当しない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,502,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1331-61-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1332-07-6,NITE,1332-07-6,ホウ酸亜鉛,Zinc borate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分2,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,10000,10000,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-1332-07-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-133220-30-1,NITE,133220-30-1,(RS) -2-［2- (3-クロロフェニル) -2_3-エポキシプロピル］-2-エチルインダン-1_3-ジオン (別名：インダノファン),(RS)-2-[2-(3-Chlorophenyl)-2_3-epoxypropyl]-2-ethylindane-1_3-dione [indanofan],,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分2B,分類できない,区分1,分類できない,分類できない,区分2,,区分あり,区分1,中枢神経系,,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液凝固系,,区分2,肝臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,460,2500,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-133220-30-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1332-21-4,NITE,1332-21-4,アスベスト（石綿）,Asbestos,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,区分1A,分類できない,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-1332-21-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1332-40-7,NITE,1332-40-7,塩基性塩化銅 (別名：酸化塩化銅水和物),Copper oxychloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分4,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分2A,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,700,2500,,,,,,0.009,,100,,,,不明,100,https://www.nite.go.jp/chem/ghs/m-nite-1332-40-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-13327-32-7,NITE,13327-32-7,水酸化ベリリウム,Beryllium hydroxide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分1A,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,区分4,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-13327-32-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-133-32-4,NITE,133-32-4,インドール酪酸,Indolebutyric acid,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分3,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分3,分類できない,100,,,,,,,57,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-133-32-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1333-74-0,NITE,1333-74-0,水素,Hydrogen,,,,5.5,4,,,,,,,区分に該当しない（分類対象外）,区分1,区分に該当しない（分類対象外）,区分に該当しない,圧縮ガス,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分に該当しない（分類対象外）,分類できない,分類できない,,,,4500,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1333-74-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1333-82-0,NITE,1333-82-0,無水クロム酸,Chromium trioxide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分2,区分に該当しない（分類対象外）,分類できない,,区分3,区分2,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分2,区分1,区分1,区分1,区分1,区分1B,区分1A,区分1B,,区分あり,区分1,中枢神経系,,区分1,呼吸器,,区分1,心血管系,,区分1,血液系,,区分1,肝臓,,区分1,腎臓,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,52,57.7,,,,0.217,,0.145,,1,,,,不明,1,https://www.nite.go.jp/chem/ghs/m-nite-1333-82-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1333-83-1,NITE,1333-83-1,フッ化水素ナトリウム,Sodium hydrogen difluoride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない,分類できない,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,歯,,区分1,骨,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1333-83-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1333-86-4,NITE,1333-86-4,カーボンブラック,Carbon black,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分1,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない,分類できない,分類できない,分類できない,区分2,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,分類できない,分類できない,8000,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1333-86-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-133408-50-1,NITE,133408-50-1,(E)-α-メトキシイミノ-N-メチル-2-フェノキシベンゼンアセトアミド (別名：メトミノストロビン),(E)-α-methoxyimino-N-methyl-2-phenoxyphenylacetamide; (E)-Metominostrobin,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分4,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない,区分に該当しない,区分2,区分2,,区分あり,区分2,中枢神経系,,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,肝臓,,区分2,腎臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,708,2500,,,,,,,4.08,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-133408-50-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1335-31-5,NITE,1335-31-5,オキシシアン化水銀（II）,dimercury dicyanide oxide,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分3,区分2B,分類できない,区分1,区分2,区分に該当しない,区分2,,区分あり,区分1,腎臓,,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,中枢神経系,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1335-31-5.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1335-32-6,NITE,1335-32-6,塩基性酢酸鉛,lead acetate_ basic; lead acetate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,区分1B,区分1A,,区分あり,区分1,腎臓,,区分1,消化器,,区分1,脳神経系,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液系,,区分1,腎臓,,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1335-32-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-13356-08-6,NITE,13356-08-6,酸化フェンブタスズ,Fenbutatin oxide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分2,区分2,区分2A,分類できない,分類できない,分類できない,分類できない,区分2,,区分あり,区分1,呼吸器,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,2631,2500,,,,0.072,,0.0008,,1000,0.00031,,,無,1000,https://www.nite.go.jp/chem/ghs/m-nite-13356-08-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1335-85-9,NITE,1335-85-9,ジニトロオルトクレゾール,Dinitro-2-methylphenol,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-1335-85-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1335-87-1,NITE,1335-87-1,ヘキサクロロナフタレン,Hexachloronaphthalene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肝臓,,区分1,皮膚,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-1335-87-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1335-88-2,NITE,1335-88-2,テトラクロロナフタレン,Tetrachloronaphthalene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肝臓,,区分1,皮膚,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-1335-88-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-13360-57-1,NITE,13360-57-1,ジメチルスルファモイルクロライド,Dimethylsulfamoyl chloride,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,900,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-13360-57-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1336-21-6,NITE,1336-21-6,水酸化アンモニウム,Ammonium hydroxide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分1,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,中枢神経系,,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分に該当しない,分類できない,350,,,,,,26.8,,,,,7.1,,有,,https://www.nite.go.jp/chem/ghs/m-nite-1336-21-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1336-36-3,NITE,1336-36-3,ポリ塩化ビフェニル,PCB 1254; polychlorobiphenyl; Chlorodiphenyl (42% chlorine),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,,区分4,区分3,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない,区分1B,区分1A,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肝臓,,区分1,皮膚,,区分1,免疫系,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,1057,800,,,,,0.008,,,100,,,,無,100,https://www.nite.go.jp/chem/ghs/m-nite-1336-36-3.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-1338-23-4,NITE,1338-23-4,エチルメチルケトンペルオキシド,2-Butanone_ peroxide,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,タイプB,分類できない,,区分4,区分に該当しない,区分に該当しない（分類対象外）,区分2,区分に該当しない,区分2,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,中枢神経系,,区分3,気道刺激性,,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分に該当しない,分類できない,484,4000,,200,1.44,15.4,,,5.6,,,,,有,,https://www.nite.go.jp/chem/ghs/m-nite-1338-23-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
